,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Kattivakkam,IN,84.2,scattered clouds,13.22,80.32,St. Joseph Thirumana mandapam
8,Mahebourg,MU,78.8,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
9,Vaini,TO,80.6,broken clouds,-21.2,-175.2,Keleti Beach Resort
11,Ixtapa,MX,78.8,broken clouds,20.7,-105.2,Container Inn Puerto Vallarta
12,Bambous Virieux,MU,78.8,scattered clouds,-20.34,57.76,Casa Tia Villa
14,Arraial Do Cabo,BR,75.29,broken clouds,-22.97,-42.03,Pousada Porto Praia
15,Bonthe,SL,82.02,clear sky,7.53,-12.51,Bonthe Holiday Village
17,Balabac,PH,82.76,scattered clouds,7.99,117.06,Sing and Swing Lodge
22,Atuona,PF,81.61,few clouds,-9.8,-139.03,Villa Enata
29,Port-Gentil,GA,81.54,clear sky,-0.72,8.78,Fengshui Residence
34,Hithadhoo,MV,82.65,light rain,-0.6,73.08,Scoop Guest House
38,Hambantota,LK,79.03,clear sky,6.12,81.12,Bungalow 63
41,Kapaa,US,80.6,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
42,Bengkulu,ID,77.09,light rain,-3.8,102.27,Grage Hotel Bengkulu
46,Puerto Ayora,EC,80.6,few clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
47,Touros,BR,80.6,scattered clouds,-5.2,-35.46,INN NEW HORIZON
50,Monkey Hill,KN,82.0,few clouds,17.32,-62.72,St. Kitts Marriott Resort & The Royal Beach Casino
51,Benjamin Hill,MX,80.01,scattered clouds,30.17,-111.1,Luis Guillermo García Medina
57,Pundaguitan,PH,81.75,light rain,6.37,126.17,Leonardo Family Beach House 1
58,Russell,US,77.0,clear sky,32.35,-85.2,Macs
59,Port Blair,IN,81.59,broken clouds,11.67,92.75,Hotel Sentinel
67,Lorengau,PG,83.59,light rain,-2.02,147.27,Lorengau Harbourside Hotel
72,Hilo,US,78.8,moderate rain,19.73,-155.09,Hilo Hawaiian Hotel
74,Portobelo,PA,87.8,scattered clouds,9.55,-79.65,Scuba Portobelo
79,Dhidhdhoo,MV,83.73,scattered clouds,6.88,73.1,Dhidhoo beach
83,Kavaratti,IN,82.65,broken clouds,10.57,72.64,Bismillah Hotel And Lodging
89,Aswan,EG,75.45,clear sky,24.09,32.91,Nuba Nile
90,San Jose De Sisa,PE,75.47,light rain,-6.62,-76.69,Hostal Schratu
94,Quang Ngai,VN,77.36,broken clouds,15.12,108.8,Central Hotel
102,Kalmunai,LK,79.21,clear sky,7.42,81.82,VS Villa
103,Oranjestad,AW,82.4,scattered clouds,12.52,-70.03,Divi Village Golf & Beach Resort
108,Tuntum,BR,76.95,light rain,-5.26,-44.65,MG Hotel
109,Unisan,PH,82.0,light rain,13.84,121.98,Wilson yolip
110,Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
115,Cocorit,MX,80.6,broken clouds,27.58,-109.97,motel kaba
117,Mount Isa,AU,77.0,broken clouds,-20.73,139.5,ibis Styles Mt Isa Verona
122,Makakilo City,US,82.4,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
124,Atambua,ID,79.75,clear sky,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
132,Avarua,CK,82.4,broken clouds,-21.21,-159.78,Paradise Inn
135,Delta,NG,77.45,light rain,5.5,6.0,Prestige Hotel
140,Faanui,PF,83.53,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
143,Elesbao Veloso,BR,77.18,light rain,-6.2,-42.14,Pousada Paraiso
147,Souillac,MU,78.8,scattered clouds,-20.52,57.52,Bils' Villa
156,Monte Alegre,BR,79.5,broken clouds,-2.01,-54.07,Hotel Shekinah
158,Tessalit,ML,77.61,clear sky,20.2,1.01,
159,Sao Joao Da Barra,BR,75.13,overcast clouds,-21.64,-41.05,Pousada Porto De Canoas
162,Aragarcas,BR,79.18,few clouds,-15.9,-52.25,Hotel Pousada Tropical
167,Jaru,BR,77.22,light rain,-10.44,-62.47,Hotel Paraná
