City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,2020-04-06 00:16:00,42.6,-73.97,55.99,54,75,13.87
1,Torbay,CA,2020-04-06 00:20:29,47.67,-52.73,28.0,85,20,4.7
2,Saskylakh,RU,2020-04-06 00:20:30,71.92,114.08,18.75,96,94,7.54
3,Solton,RU,2020-04-06 00:20:30,52.84,86.48,31.66,86,0,4.27
4,Hermanus,ZA,2020-04-06 00:18:34,-34.42,19.23,60.01,77,81,5.99
5,Arraial Do Cabo,BR,2020-04-06 00:16:40,-22.97,-42.03,75.29,71,72,9.53
6,Thompson,CA,2020-04-06 00:20:34,55.74,-97.86,23.0,62,20,5.82
7,Moron,AR,2020-04-06 00:17:29,-34.65,-58.62,71.01,73,75,3.36
8,Yellowknife,CA,2020-04-06 00:20:35,62.46,-114.35,23.0,49,20,13.87
9,Atasu,KZ,2020-04-06 00:20:35,48.68,71.64,41.85,67,23,7.52
10,Leningradskiy,RU,2020-04-06 00:20:35,69.38,178.42,-0.02,88,100,17.13
11,Bud,US,2020-04-06 00:20:35,39.45,-86.18,55.4,81,90,9.17
12,Bambous Virieux,MU,2020-04-06 00:20:35,-20.34,57.76,78.8,74,40,9.17
13,Bredasdorp,ZA,2020-04-06 00:20:35,-34.53,20.04,60.8,63,71,13.87
14,Vaitape,PF,2020-04-06 00:20:36,-16.52,-151.75,84.4,72,4,8.43
15,Bathsheba,BB,2020-04-06 00:20:36,13.22,-59.52,80.6,78,40,13.87
16,Puerto Ayora,EC,2020-04-06 00:20:36,-0.74,-90.35,80.6,83,20,8.05
17,Hualmay,PE,2020-04-06 00:20:36,-11.1,-77.61,73.09,74,6,6.4
18,Cape Town,ZA,2020-04-06 00:20:36,-33.93,18.42,59.0,100,75,11.41
19,Busselton,AU,2020-04-06 00:20:37,-33.65,115.33,66.99,38,56,16.49
20,Mataura,NZ,2020-04-06 00:20:37,-46.19,168.86,60.01,90,100,5.01
21,Turan,VN,2020-04-06 00:16:24,16.07,108.22,77.0,83,20,3.36
22,Port Alfred,ZA,2020-04-06 00:20:37,-33.59,26.89,64.76,79,96,13.24
